dataset,indicator,year,value,role,source_note
IIEQI_annual,PISA Mathematics,2024,366.0,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,PISA Science,2024,383.0,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,AN Literacy,2024,68.32,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,AN Numeracy,2024,66.42,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,APK Tertiary,2024,32.0,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,APS 16-18,2024,74.35,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,Urban-Rural Gap,2024,8.01,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,GPI,2024,1.048,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,PISA Reading,2025,365.0,annual_index_input,Official PISA 2025 result released 8 Sep 2026 by Kemendikdasmen/OECD; historical CAGR remains 2018-2022 as prespecified in manuscript.
IIEQI_annual,PISA Mathematics,2025,364.0,annual_index_input,Official PISA 2025 result released 8 Sep 2026 by Kemendikdasmen/OECD; historical CAGR remains 2018-2022 as prespecified in manuscript.
IIEQI_annual,PISA Science,2025,389.0,annual_index_input,Official PISA 2025 result released 8 Sep 2026 by Kemendikdasmen/OECD; historical CAGR remains 2018-2022 as prespecified in manuscript.
IIEQI_annual,AN Literacy,2025,68.62,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,AN Numeracy,2025,67.35,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,APK Tertiary,2025,32.89,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,APS 16-18,2025,76.2,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,Urban-Rural Gap,2025,8.1,annual_index_input,"CORRECTED from stale carry-forward of 2024 value (8.01). Recomputed as Perkotaan APS Formal (79.44) minus Perdesaan APS Formal (71.34), 16-18, from BPS Susenas primary source (Angka_Partisipasi_Sekolah_..._2009-2025.csv); rounding applied to each APS figure before subtraction, consistent with all other years in this series."
IIEQI_annual,GPI,2025,1.052,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
CAGR_anchor,PISA Reading,2018,371.0,historical_start,PISA 2018-2022: two actual assessment cycles
CAGR_anchor,PISA Reading,2022,359.0,historical_end,PISA 2018-2022: two actual assessment cycles
CAGR_anchor,PISA Mathematics,2018,379.0,historical_start,PISA 2018-2022: two actual assessment cycles
CAGR_anchor,PISA Mathematics,2022,366.0,historical_end,PISA 2018-2022: two actual assessment cycles
CAGR_anchor,PISA Science,2018,396.0,historical_start,PISA 2018-2022: two actual assessment cycles
CAGR_anchor,PISA Science,2022,383.0,historical_end,PISA 2018-2022: two actual assessment cycles
CAGR_anchor,AN Literacy,2021,53.39,historical_start,AN 2021-2025
CAGR_anchor,AN Literacy,2025,68.62,historical_end,AN 2021-2025
CAGR_anchor,AN Numeracy,2021,32.93,historical_start,AN 2021-2025
CAGR_anchor,AN Numeracy,2025,67.35,historical_end,AN 2021-2025
CAGR_anchor,APK Tertiary,2021,31.19,historical_start,APK 2021-2025
CAGR_anchor,APK Tertiary,2025,32.89,historical_end,APK 2021-2025
Planning_target,PISA Reading,2025,365.0,base_2025,CORRECTED to match the official PISA 2025 baseline used throughout the manuscript (see Source_update_2026); the prior value (359.0) was the stale pre-2025 carry-forward figure and was inconsistent with Table 4A / target_df$Base_2025 in the replication script.
Planning_target,PISA Reading,2029,409.0,target_2029,RPJMN/RPJPN target comparison
Planning_target,PISA Reading,2045,485.0,target_2045,RPJPN target comparison
Planning_target,PISA Mathematics,2025,364.0,base_2025,CORRECTED to match the official PISA 2025 baseline used throughout the manuscript (see Source_update_2026); the prior value (366.0) was the stale pre-2025 carry-forward figure and was inconsistent with Table 4A / target_df$Base_2025 in the replication script.
Planning_target,PISA Mathematics,2029,416.0,target_2029,RPJMN/RPJPN target comparison
Planning_target,PISA Mathematics,2045,490.0,target_2045,RPJPN target comparison
Planning_target,PISA Science,2025,389.0,base_2025,CORRECTED to match the official PISA 2025 baseline used throughout the manuscript (see Source_update_2026); the prior value (383.0) was the stale pre-2025 carry-forward figure and was inconsistent with Table 4A / target_df$Base_2025 in the replication script.
Planning_target,PISA Science,2029,426.0,target_2029,RPJMN/RPJPN target comparison
Planning_target,PISA Science,2045,487.0,target_2045,RPJPN target comparison
Planning_target,AN Literacy,2025,68.62,base_2025,RPJMN/RPJPN target comparison
Planning_target,AN Literacy,2029,76.62,target_2029,RPJMN/RPJPN target comparison
Planning_target,AN Literacy,2045,75.73,target_2045,RPJPN target comparison
Planning_target,AN Numeracy,2025,67.35,base_2025,RPJMN/RPJPN target comparison
Planning_target,AN Numeracy,2029,75.35,target_2029,RPJMN/RPJPN target comparison
Planning_target,AN Numeracy,2045,68.72,target_2045,RPJPN target comparison
Planning_target,APK Tertiary,2025,32.89,base_2025,RPJMN/RPJPN target comparison
Planning_target,APK Tertiary,2029,38.04,target_2029,RPJMN/RPJPN target comparison
Planning_target,APK Tertiary,2045,60.0,target_2045,RPJPN target comparison
Source_update_2026,PISA Reading,2025,365.0,official_pisa_2025,Kemendikdasmen Press Release 8 Sep 2026; OECD PISA 2025 Results
Source_update_2026,PISA Mathematics,2025,364.0,official_pisa_2025,Kemendikdasmen Press Release 8 Sep 2026; OECD PISA 2025 Results
Source_update_2026,PISA Science,2025,389.0,official_pisa_2025,Kemendikdasmen Press Release 8 Sep 2026; OECD PISA 2025 Results
Equity_history,Total_APS,2009,55.05,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Urban_APS,2009,62.84,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Rural_APS,2009,47.52,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Male_APS,2009,55.8,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Female_APS,2009,54.25,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Total_APS,2014,70.13,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Urban_APS,2014,74.68,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Rural_APS,2014,65.29,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Male_APS,2014,69.7,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Female_APS,2014,70.58,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Total_APS,2021,70.74,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Urban_APS,2021,73.9,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Rural_APS,2021,66.54,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Male_APS,2021,70.02,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Female_APS,2021,71.49,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Total_APS,2022,72.88,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Urban_APS,2022,75.79,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Rural_APS,2022,69.04,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Male_APS,2022,71.34,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Female_APS,2022,74.51,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Total_APS,2023,73.07,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Urban_APS,2023,75.61,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Rural_APS,2023,69.51,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Male_APS,2023,71.59,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Female_APS,2023,74.63,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Total_APS,2024,74.35,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Urban_APS,2024,77.6,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Rural_APS,2024,69.59,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Male_APS,2024,72.61,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Female_APS,2024,76.13,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Total_APS,2025,76.2,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Urban_APS,2025,79.44,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Rural_APS,2025,71.34,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Male_APS,2025,74.29,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
Equity_history,Female_APS,2025,78.16,equity_raw_input,"BPS Susenas, APS Formal (partisipasi sekolah formal), usia 16-18, klasifikasi Perkotaan/Perdesaan; from Angka_Partisipasi_Sekolah_(APS)_..._2009-2025.csv. Total_APS/Urban_APS/Rural_APS = Laki-laki+Perempuan combined for Perkotaan+Perdesaan / Perkotaan / Perdesaan respectively; Male_APS/Female_APS = Perkotaan+Perdesaan combined by gender. Urban-Rural Gap = Urban_APS - Rural_APS (each rounded to 2 dp before subtracting); GPI = Female_APS / Male_APS."
